sr_no,name_of_the_district,tahsilblock,cattle_exoticcrossbred,cattleindigenous,cattletotal,buffaloestotal,sheepexoticcrossbred,sheepindigenous,sheeptotal,goatstotal,pigsexoticcross_bred,pigsindigenous,pigs_total,horses_poniestotal,mulestotal,donkeystotal,camelstotal,total_livestock,dogstotal,rabbitstotal,elephantstotal,poultryfowls,poultry_ducks,poultryturkeys,poultryquails,poultryother_poultry_birds,total_poultrybackyard,total_birds_in_the_farmhatchery_layerbroiler_duckemuothers,total_poultryp_farm_hatchery_birds
1,Mumbai,Mumbai & Sub Urban,3344,1840,5184,30188,138,174,312,10626,350,307,657,1643,0,92,4,48706,32832,921,0,52851,687,143,136,405,54222,31903,86125
2, Thane,Ambarnath,748,7524,8272,8599,4,24,28,5919,498,205,703,27,100,27,3,23678,3566,39,0,45389,95,4,1,114,45603,223980,269583
3, Thane,Bhiwandi,1160,12169,13329,27008,181,1190,1371,16241,131,319,450,26,1,49,0,58475,3484,37,0,130979,58,4,0,126,131167,531543,662710
4, Thane,Dahanu,1164,74268,75432,6491,0,14,14,30443,206,15,221,108,0,0,2,112711,5706,99,0,275127,3531,12,7000,45,285715,191548,477263
5, Thane,Jawhar,73,46872,46945,3973,0,2,2,21618,65,316,381,0,0,0,0,72919,1484,35,0,67878,278,17,0,12,68185,1500,69685
6, Thane,Kalyan,1006,5942,6948,13911,39,206,245,5679,51,123,174,558,1,0,0,27516,4555,173,0,51861,238,5,0,48,52152,575788,627940
7, Thane,Mokhada,11,28175,28186,2193,0,1,1,12584,0,15,15,1,0,0,0,42980,1173,3,0,37081,19,9,0,0,37109,20,37129
8, Thane,Murbad,531,26627,27158,14675,89,189,278,9305,0,2,2,4,0,0,0,51422,1134,6,0,71282,76,19,48,0,71425,505749,577174
9, Thane,Palghar,1133,32689,33822,14182,3,10,13,23330,399,315,714,174,0,5,2,72242,5035,136,0,155836,2024,0,0,359,158219,283678,441897
10, Thane,Shahapur,961,41956,42917,22368,0,45,45,20259,48,713,761,17,2,50,0,86419,4736,107,0,119047,45,3,0,2,119097,638160,757257
11, Thane,Talasari,288,33457,33745,1199,0,0,0,13057,79,0,79,0,0,0,0,48080,785,58,0,125262,587,4,0,53,125906,1400,127306
12, Thane,Thane,1853,915,2768,8616,36,6,42,4341,188,1146,1334,79,0,165,0,17345,10452,233,0,45430,144,2,14,113,45703,0,45703
13, Thane,Ulhasnagar,344,1637,1981,2842,3,2,5,770,67,2470,2537,4,0,37,0,8176,1127,24,0,4453,21,0,0,0,4474,200,4674
14, Thane,Vada,424,22553,22977,11614,31,291,322,16821,2,0,2,1,0,0,0,51737,2918,10,0,84915,122,8,0,0,85045,440750,525795
15, Thane,Vasai,2205,9097,11302,33616,2,7,9,5372,249,110,359,2,0,7,1,50668,2480,90,7,43189,524,114,0,96,43923,20180,64103
16, Thane,Vikramgad,476,54206,54682,15860,5,7,12,16520,98,0,98,9,0,0,0,87181,2804,24,0,132923,370,38,0,17,133348,179500,312848
17,Raigad,Alibag,1458,9585,11043,7407,6,342,348,8022,65,0,65,95,0,0,0,26980,2770,17,0,86551,127,11,8,93,86790,1392842,1479632
